probe,skewness,abs_skewness
cg02096916,9.233945622291426,9.233945622291426
cg24632597,9.230015686687144,9.230015686687144
cg11570508,-9.194689793306596,9.194689793306596
cg04224624,-9.185009531195297,9.185009531195297
cg10191097,-9.171843715064396,9.171843715064396
cg25372568,9.135836237792898,9.135836237792898
cg05638059,-9.107133861469356,9.107133861469356
cg17751435,9.061919878893551,9.061919878893551
cg03790745,-9.035307851139914,9.035307851139914
cg06856329,-9.012243577087855,9.012243577087855
cg00226265,-9.006228302533334,9.006228302533334
cg10923475,8.95800984239219,8.95800984239219
cg21107197,8.950611326951316,8.950611326951316
cg15852258,8.94703459269558,8.94703459269558
cg12991064,8.930003155969931,8.930003155969931
cg26168148,-8.924183593762882,8.924183593762882
cg06949234,8.876210017006636,8.876210017006636
cg17295589,-8.850627763852305,8.850627763852305
cg03384579,8.800344164152785,8.800344164152785
cg08777167,-8.793199436791111,8.793199436791111
cg00373376,-8.651637944883356,8.651637944883356
cg05554592,-8.606279555355023,8.606279555355023
cg13129285,8.595800739624222,8.595800739624222
cg24775454,8.534644539013263,8.534644539013263
cg17876200,8.49125034492441,8.49125034492441
cg07690181,8.46888501540177,8.46888501540177
cg21877580,8.451063102601214,8.451063102601214
cg01976176,8.451053097501346,8.451053097501346
cg02527886,-8.401586594184682,8.401586594184682
cg08426800,-8.362191563080009,8.362191563080009
cg16292451,-8.275749063622966,8.275749063622966
cg07773272,8.264494356888171,8.264494356888171
cg22683624,-8.245023205133933,8.245023205133933
cg05051393,-8.240697105413355,8.240697105413355
cg20197989,8.21394527644083,8.21394527644083
cg11590405,8.213745304447261,8.213745304447261
cg22213149,-8.192463394770723,8.192463394770723
cg07838427,-8.187688643121673,8.187688643121673
cg26816312,-8.182341901130759,8.182341901130759
cg14696535,8.179814588520836,8.179814588520836
cg24545687,-8.171739707326898,8.171739707326898
cg11736112,-8.158866908414549,8.158866908414549
cg01035160,8.15281606047528,8.15281606047528
cg06824297,8.1483385259995,8.1483385259995
cg00014152,-8.12790653716516,8.12790653716516
cg09441395,8.121011224089957,8.121011224089957
cg14864773,8.11015295683285,8.11015295683285
cg13547250,8.01909145427732,8.01909145427732
cg05977191,7.99899757476701,7.99899757476701
cg08955006,-7.9607634870491655,7.9607634870491655
cg26543352,-7.945122573668724,7.945122573668724
cg12018137,-7.944379826753105,7.944379826753105
cg05410624,-7.913358075568314,7.913358075568314
cg20100668,-7.902919007014306,7.902919007014306
cg25255293,7.832586425127553,7.832586425127553
cg04503743,7.830355560785379,7.830355560785379
cg14202380,7.821601226014456,7.821601226014456
cg09230661,-7.7990424483610195,7.7990424483610195
cg05483131,-7.791130116141778,7.791130116141778
cg18389568,-7.7855233272752615,7.7855233272752615
cg03441452,-7.782615577933779,7.782615577933779
cg08708229,7.775509005365611,7.775509005365611
cg26489176,7.756806109921709,7.756806109921709
cg21191176,-7.747772105563547,7.747772105563547
cg25963511,-7.729907169273389,7.729907169273389
cg21824300,-7.724461672705187,7.724461672705187
cg16012536,-7.68571811145675,7.68571811145675
cg01039421,-7.672213952489683,7.672213952489683
cg12055459,-7.667911822594706,7.667911822594706
cg21731291,7.665023356265627,7.665023356265627
cg05167392,7.658855334512393,7.658855334512393
cg27034576,7.641750667917594,7.641750667917594
cg09066338,7.615616203874244,7.615616203874244
cg03892735,-7.584416817196636,7.584416817196636
cg06170065,-7.5312666937378685,7.5312666937378685
cg08272784,-7.524784933369487,7.524784933369487
cg14447710,-7.513838264402244,7.513838264402244
cg02507578,7.510958147369659,7.510958147369659
cg11218768,-7.499850538280363,7.499850538280363
cg26471371,-7.497649234338928,7.497649234338928
cg20112079,7.48524985729898,7.48524985729898
cg05269359,-7.464652010568236,7.464652010568236
cg03048354,7.444291669916562,7.444291669916562
cg16326123,-7.439428429851402,7.439428429851402
cg20800844,7.426438241888514,7.426438241888514
cg02524954,7.406928106288565,7.406928106288565
cg21224834,7.3959033140123465,7.3959033140123465
cg15892839,7.391997786110143,7.391997786110143
cg15770654,-7.387677217821111,7.387677217821111
cg08053355,7.384522988872085,7.384522988872085
cg17021988,-7.382849508623106,7.382849508623106
cg26801538,-7.3209103549995165,7.3209103549995165
cg00696763,-7.301666024064675,7.301666024064675
cg12120126,7.2743586603974695,7.2743586603974695
cg21585100,-7.273675956424941,7.273675956424941
cg12651599,-7.271683108108061,7.271683108108061
cg25015867,7.270648630144301,7.270648630144301
cg22620916,7.237452132752863,7.237452132752863
cg16207671,-7.235322371981324,7.235322371981324
cg08995089,7.225470815642338,7.225470815642338
cg09178970,-7.183889921238432,7.183889921238432
cg07657131,7.157238515803755,7.157238515803755
cg09107710,-7.1533075429451545,7.1533075429451545
cg05604668,7.148030949912636,7.148030949912636
cg02761093,7.135187671956818,7.135187671956818
cg03040489,-7.124357662786467,7.124357662786467
cg10703845,7.092635171217247,7.092635171217247
cg05064937,7.071000905571658,7.071000905571658
