gene,variance
ENSG00000054690,355790.42735978117
ENSG00000054793,15602443.212722298
ENSG00000054796,0
ENSG00000054803,264199.5403556771
ENSG00000054938,1654820.7179206563
ENSG00000054965,13999146.24692202
ENSG00000054967,1185739.3898768811
ENSG00000054983,1744834.9927496577
ENSG00000055044,2383711.550889193
ENSG00000055070,79501749.20943916
ENSG00000055118,3866430.0421340656
ENSG00000055130,3500083.9436388514
ENSG00000055147,586919.0265389876
ENSG00000055163,1845209.994117647
ENSG00000055208,9600782.324486999
ENSG00000055211,2424224.292886457
ENSG00000055332,14668843.753214775
ENSG00000055483,5227086.468536251
ENSG00000055609,10862002.04870041
ENSG00000055732,1166256.3344733245
ENSG00000055813,194612.41422708612
ENSG00000055917,9450367.365389878
ENSG00000055950,647531.9124487005
ENSG00000055955,35312.78262653899
ENSG00000055957,18.05923392612861
ENSG00000056050,344516.81874145014
ENSG00000056097,7112073.980848152
ENSG00000056277,38740.83885088919
ENSG00000056291,5242903.141586867
ENSG00000056487,96053.00027359785
ENSG00000056558,1161702.500683995
ENSG00000056586,4019716.251709987
ENSG00000056736,21100.45704514364
ENSG00000056972,1597332.1614227078
ENSG00000056998,1734264.208481532
ENSG00000057019,141140961.9880985
ENSG00000057149,86476.44500683996
ENSG00000057252,3812821.069767443
ENSG00000057294,11359960.247469224
ENSG00000057468,216.43392612859103
ENSG00000057593,116963.45389876878
ENSG00000057608,39893634.64692203
ENSG00000057657,1021219.6153214778
ENSG00000057663,695857.5102599179
ENSG00000057704,1661096.6556771542
ENSG00000057757,1553660.814363885
ENSG00000057935,2691172.1510259924
ENSG00000058056,4159676.0521203834
ENSG00000058063,3441808.5265389876
ENSG00000058085,469423131.78344727
ENSG00000058091,16119649.086183315
ENSG00000058262,460974561.96388507
ENSG00000058272,10018206.269357048
ENSG00000058335,195075.15909712727
ENSG00000058404,103202.41586867305
ENSG00000058453,2427261.088919289
ENSG00000058600,1172682.7158686735
ENSG00000058668,155676071.32749653
ENSG00000058673,117596.96976744186
ENSG00000058729,646125.0155950754
ENSG00000058799,731623.0469220247
ENSG00000058804,2184468.480437758
ENSG00000058866,26992.122161422707
ENSG00000059122,2089669.808481532
ENSG00000059145,1957595.5514363884
ENSG00000059377,1110289.144733242
ENSG00000059378,9458682.239671681
ENSG00000059573,9501673.130095758
ENSG00000059588,946742.3709986318
ENSG00000059691,1506170.0377564975
ENSG00000059728,1036996.3279069769
ENSG00000059758,1410610.02749658
ENSG00000059769,202197.35663474698
ENSG00000059804,111478996.39083447
ENSG00000059915,277721.51860465104
ENSG00000060069,1037746.2221614226
ENSG00000060138,70082589.73898764
ENSG00000060140,7999.69849521204
ENSG00000060237,84151042.71860462
ENSG00000060303,44.448153214774266
ENSG00000060339,1807162.6310533509
ENSG00000060491,7680460.001094393
ENSG00000060558,931177.309439125
